0950B41C	California Agriculture
01B8B7C2	Organization Studies
013C0AE0	Journal of Research in Music Education
0B7AE6C9	Journal of Enzyme Inhibition and Medicinal Chemistry
02B93B6A	Neurocomputing
0C1FDAA0	Materials evaluation
00536718	Administration & Society
3BA50E22	The New York Genealogical and Biographical Record
021218A3	Journal of Anthropological Archaeology
0181951E	Behavioral Neuroscience
064B63AF	Australian Family Physician
3D238EF5	Prescrire
04DC07B6	Journal of Sociolinguistics
0607D6BF	Journal of Adolescent Health
09D94B9E	Biological & Pharmaceutical Bulletin
0B799A6E	Acta Obstetricia et Gynecologica Scandinavica
0476FC6B	Somatosensory and Motor Research
0BFFFC03	History Compass
011B9631	Nuclear Science and Techniques
023A1C7D	Journal of Clinical Pathology
0BDDF943	Journal of Planning History
008EB14E	Journal of Fish Biology
0613A161	Sensors
01831E35	Cambridge Archaeological Journal
074FD36F	Theory and Event
031A92F7	Emerging Themes in Epidemiology
01E1C6B0	Journal of Parasitology
06DB0F80	Journal of Librarianship and Information Science
0BC205DB	Mammalian Genome
0367031A	Plasma Sources Science and Technology
0A2FF807	Journal of Behavioral Medicine
38FD3E46	Sintaksis
06065966	Journal of Folklore Research
0B848528	Faraday Discussions
03B230BE	Transportation
010FB7B3	Theoretical Population Biology
01AF041F	Advances in Colloid and Interface Science
03F5926C	Journal of Oncology Pharmacy Practice
05A9285B	Educational Policy
094526C7	Computational Linguistics
09DC48B5	Historical Materialism
0230DB50	Journal of Zoological Systematics and Evolutionary Research
02877A0A	Molecular Genetics and Metabolism
0C1EDB4E	SIAM Journal on Numerical Analysis
0B574AD0	Journal of Archaeological Science
032496DB	Studies in Romanticism
01734933	Mathematical Models and Methods in Applied Sciences
07A84D72	Zygon
00A2CBA1	Journal of Experimental Psychology: Animal Behavior Processes
08C108FE	The Journal of Commonwealth Literature
0872C6B0	Patterns of Prejudice
0A33DC1D	Duke Mathematical Journal
3938AC1E	American Journal of Chinese Studies
08157336	Acta Linguistica Hungarica
051E31C2	Journal of Neurotrauma
05457B35	Ergonomics in Design
08205AE6	Investigative Radiology
0923A1D2	Yale Journal of Law and Feminism
059E3618	The Open Clinical Chemistry Journal
03A53F2D	Taiwanese Journal of Mathematics
07581B22	European Journal of English Studies
08D9C891	Africa Theological Journal
01192D24	Annals of Transplantation
043C4025	Medical Anthropology Quarterly
05562B98	Journal of Special Education
09BF7754	Scandinavian Journal of Public Health
0A2F948C	International Journal of Audiology
024E3C58	Manuscripta
03E47DC5	Northeastern University Law Journal
043E1A62	Journal of the American Academy of Psychiatry and the Law
057CDBC7	Journal of Planning Literature
0BDB6FAB	Journal of Disability Policy Studies
3A0CE8D4	Third Coast
0992A2B9	Asian Theatre Journal
034C609B	Journal of Knot Theory and Its Ramifications
0563BD02	IEEE Journal on Selected Areas in Communications
09919C78	cultural geographies
0BA0BD36	Nordic Journal of Human Rights
02DAB878	Biopolymers & Cell
0B5E6D5F	English Text Construction
02915A14	Biophysical Reviews and Letters
02AFDCD4	Asian Journal of Mathematics
04F46192	International Journal of Nursing Knowledge
08063F55	Applied Organometallic Chemistry
3A5548FD	Journal of Cell and Molecular Biology
3A90438A	Is it in Force?
01B98381	Indian Historical Review
0740D427	The Contemporary Pacific
098DA8F9	Contemporary Wales
0972AFF2	Journal of Electronic Imaging
380645C6	Results in Mathematics
3CE6C247	European Journal of Prosthodontics and Restorative Dentisty
3E027654	Al-Machriq
0017A8FE	Studies in English Literature 1500-1900
00192F36	Marine Chemistry
00247F5C	Black Scholar
002D5FED	International Journal of Satellite Communications and Networking
003951DD	Stilt
003AAC8C	Formal Methods in System Design
004A05AE	Advances in Economic Analysis & Policy
0053E9AD	Geologica Acta
0059639E	Fibres & Textiles in Eastern Europe
006344B1	BMC Medical Imaging
006ED647	Pharmazie in Unserer Zeit
007491ED	Journal of Coptic Studies
0078C287	Journal of Sugarbeet Research
0081B645	Computational Statistics
008C260E	Protein Expression and Purification
008C4381	Psychanalyse
0094C5A0	Aktuelle Dermatologie
009D907B	Journal of Human Sport and Exercise
00A71FDF	Psychiatrie De L Enfant
00A913F4	Anthropological Yearbook of European Cultures
00B26D2C	The Plant Health Instructor
00C282A6	Bulletin De La Societe Geologique De France
00C63F2A	Indoor Air
00C9E542	Communications in Applied Numerical Methods
00D3428A	Current Opinion in Allergy and Clinical Immunology
00D94963	Carpathian Journal of Mathematics
00DA9B5A	Geochemistry Geophysics Geosystems
00DE498C	Journal of Developing Areas
00E8DA0E	Engineering Applications of Computational Fluid Mechanics
00EA00E0	Journal of Gambling Studies
00F35500	Journal of Ovarian Research
00FB7D7E	Archive: Proceedings of The Institution of Mechanical Engineers, Automobile Division 1947-1970
010F4D58	Immune Network
01137B21	Womens Studies International Forum
01200875	Principles of Medical Biology
01215E57	Pathobiology
012E5E86	Progress in Palliative Care
0130DF2C	Cadmo
013390C6	Periodica Polytechnica Architecture
0147F6AB	Research Strategies
014968F1	ACM Sigmini Newsletter
01504491	The Law and Practice of International Courts and Tribunals
015480E9	Finanzarchiv
0183E934	Journal of Solid State Electrochemistry
0189C847	Monatshefte für Mathematik
01928DB5	Radiographics
01A9944E	International Journal of Oral & Maxillofacial Implants
01AAC52C	Journal of Emergency Medicine
01C2CC86	Algorithmic Operations Research
01D95C38	Marine Biodiversity Records
01DC74CA	Journal of Cultural Economics
01DEC38D	Handbook of Labor Economics
01E01B56	Frontiers in Organic Chemistry
01E1981F	Hospital Topics
01E8EE05	Journal of Water and Climate Change
01EDCA7A	European Review of Agricultural Economics
01F64CCC	IEEE Industrial Electronics Magazine
02155CD3	Fems Microbiology Letters
02170293	Journal of Urban Design
0222913F	Psychological Research-psychologische Forschung
023BF951	Archives of Family Medicine
02407879	Systematics and Biodiversity
024617E6	Scandinavian Journal of Surgery
02479F86	Transgenics
024CD7AE	South European Society and Politics
02555905	Frontiers of Medicine in China
02596DC8	Journal of Korean Pharmaceutical Sciences
02967FDD	Advances in Physical Organic Chemistry
02A860A7	Transfusion Medicine and Hemotherapy
02B0F6B2	International Journal of Low Radiation
02B10374	Journal of Programming Languages
02B4D472	Acta Ornithologica
02B59C27	Clinical Eeg and Neuroscience
02DCFBBE	Journal of Hepato-biliary-pancreatic Surgery
02F5CF14	Critical Care Research and Practice
02FC6308	International Endodontic Journal
031422E1	Polish Journal of Pharmacology
032AFEC3	Internal Medicine News
032D420B	Ciencia & Saude Coletiva
03309D51	E-neuroforum
034DD5A5	Journal of East-west Business
034E5352	Computing and Visualization in Science
03543F48	Iranian Journal of Parasitology
03688D3F	Canadian Journal of Fisheries and Aquatic Sciences
03720984	Revista Boliviana de Quimica
03801C55	Journal of The American Academy of Dermatology
03802275	Asian Journal of Animal Sciences
0384B6FD	Journal of Plant Ecology-uk
03945396	Chinese Journal of Organic Chemistry
039E76EF	Internal Medicine Journal
03A3CF6A	Bulletin International Des Societes De Secours Aux Militaires Blesses
03B4E349	Innovation in Language Learning and Teaching
03B7B709	Communications Society: A Digest of News and Events of Interest To Communications Engineers
03C0F47A	Graellsia
03DA2080	Middle Eastern Literatures
03DB26A4	British Journal of Oral Surgery
03E359A0	Electrocatalysis
03EDEADE	Tumordiagnostik & Therapie
03FB9426	Soil & Sediment Contamination
03FE315F	Journal of Nanomaterials
040E117C	Journal of Iberian and Latin American Research
041FD9E6	Journal of Imaging Science and Technology
04260BD2	Fixed Point Theory
042A0F62	Advances in Mergers and Acquisitions
04399D83	Journal of Pharmaceutical Investigation
0441966B	Set-valued Analysis
044699A5	Florida Media Quarterly
0449A7DE	The Computer Bulletin
045EFA6A	Biocycle
049A81C4	Sibirica
049F7B19	Journal of Electronic Measurement and Instrument
04AAF5AE	Journal of The British Archaeological Association
04ABD7CB	Minerva Biotecnologica
04ACEE14	Ecopsychology
04AF6798	Asian Journal of Andrology
04B2FE2E	International Community Law Review
04C8D002	Child and Adolescent Psychopharmacology News
04DC8E79	Developmental and Comparative Immunology
04DF4BB7	ACM Sigmicro Newsletter
04DF91DF	Collegium Antropologicum
04E4CB93	International Journal of Experimental Pathology
04EA9106	Theology and Sexuality
04F4B486	History of Political Economy
04F570CE	Journal Des Africanistes
050723D0	Journal of Conflict Archaeology
05175CFB	Sedimentary Geology
0524DCCD	Revista De Economia Aplicada
0525FD61	International Journal of Accounting and Information Management
05286BCA	Chinese Science Bulletin
052DA009	Asian Journal of Wto & International Health Law and Policy
052F7149	Peabody Journal of Education
0532B5D5	Journal of Benefit-cost Analysis
0534A696	Itbm-rbm
0534C31D	Cryobiology
053920B9	International Journal of Multimedia Data Engineering and Management
053EEF83	Symposium (international) on Combustion
05439719	Ecological Modelling
055754A6	Journal of Imagery Research in Sport and Physical Activity
056186E5	IEEE Transactions on Professional Communication
0563F154	Archeological Papers of The American Anthropological Association
0571D997	Revista De Humanidades Y Ciencias Sociales (santa Cruz De La Sierra)
05727090	Applied Cognitive Psychology
05776EBB	Wuhan University Journal of Natural Sciences
0577A802	Environmental Pollution Series A, Ecological and Biological
0582166F	Annual Bulletin of Historical Literature
0582FD86	Journal of Environmental Planning and Management
05908385	Pain Reviews
05AAB91D	Review of Accounting and Finance
05B0A80D	Journal of Vector Ecology
05B2E2F8	Advances in Strategic Management -a Research Annual
05B47284	Arab Law Quarterly
05B69AA4	Studia Etymologica Cracoviensia
05C69B3C	Journal of Electrical Engineering-elektrotechnicky Casopis
05D884A4	Pteridines
05E4A33F	Biochemical Archives
05EBEAC9	Developmental Immunology
05F6CC29	Saudi Journal of Gastroenterology
0600BA71	Review of Derivatives Research
060F5659	Swedish Dental Journal
061320FA	Informacije Midem-journal of Microelectronics Electronic Components and Materials
061B478D	Journal of Bioequivalence & Bioavailability
061BB087	Asm News
061CB039	Evidence-based Eye Care
061FC040	Dermatology Research and Practice
062214FB	Psychology & Marketing
0652185F	Journal of Parasitology Research
065343DD	Acta Biologica Cracoviensia Series Botanica
065AF256	Australian Journal of Rehabilitation Counselling
06618668	Home Health Care Management & Practice
066588AD	Primary Care Cardiovascular Journal (pccj)
066743B3	IEEE Transactions on Computational Intelligence and Ai in Games
0672310D	Children's Services
0680373E	Banking Law Journal
06806B09	International Journal of Soil Science
06941928	Nippon Hojyoken Kagaku Kenkyu
069E5E40	Psychiatry and Clinical Neurosciences
06AC55D2	Pneumologie
06AE5611	Criminal Law Forum
06B9F5F4	Asian Journal of Oral and Maxillofacial Surgery
06BA96A8	Hungarian Journal of Industrial Chemistry
06C0A0E6	Journal of Cardiology Cases
06D290B6	Acta Microbiologica Et Immunologica Hungarica
06D3E839	Ethnicity & Disease
06D87F7D	Mitigation and Adaptation Strategies for Global Change
06DAD4AA	Computer Communications
06DF68B7	IEEE Transactions on Image Processing
06E12347	Totalitarian Movements and Political Religions
06E1F67F	Acta Hydrobiologica Sinica
06E8E308	Journal of Global Optimization
06F2BC9F	Medical Image Analysis
06FA90E6	Notulae Botanicae Horti Agrobotanici Cluj-napoca
06FEA44D	Learning and Teaching
0701E2C3	Educational Philosophy and Theory
070E7328	Studia Monastica
071723EF	Polar Record
07179D34	Revista Brasileira De Biologia
0717F522	International Journal of Damage Mechanics
0727D00A	Engineering, Construction and Architectural Management
072A5073	Biotechnology Law Report
072CBE37	Nutritional Anthropology
0730925A	Research Journal of Medical Sciences
07340DC1	Chronic Diseases in Canada
07353F3F	Software Focus
073B3F92	Anatomical Sciences Education
073D4121	Studies in Law, Politics and Society
073E374B	Proceedings of The Ice - Bridge Engineering
07404057	Global Business and Economics Review
074065BA	Alpha (osorno)
074D6711	New York Review of Books
074EB7DF	Proceedings of The Entomological Society of Washington
075F9B79	Contemporary Issues in Early Childhood
0762CA89	International Journal of Entrepreneurship and Small Business
0764004B	The Open Civil Engineering Journal
0768D26F	Safer Communities
076CE1A1	European Cells & Materials
0770C3A4	Journal of Biochemical and Molecular Toxicology
0782EDD7	International Journal of Sport Finance
07A719A6	Journal of Public Mental Health
07B243EB	Croatian Journal of Forest Engineering
07C30754	Journal of European Tort Law
07E30BCC	Research in Developmental Disabilities
07EAD008	Molecular Cancer
08177B3B	Defect and Diffusion Forum Series
081D0698	Journal of Optometry
081FA4D8	International Journal of Biodiversity Science, Ecosystems Services & Management
0822403F	Fems Immunology and Medical Microbiology
082311E8	Journal of Development Effectiveness
082C757D	Journal of Flow Visualization and Image Processing
08355BCB	Criminal Law Review
0843F830	The Journal of Maternal-fetal Medicine
085807CC	Acta Agronomica Sinica
08580B9A	Brazilian Journal of Physics
08583746	Issues in Law & Medicine
0860EF3E	The Carlyle Letters Online
086361E6	The Open Sports Medicine Journal
087FEEDB	Communio Viatorum
0881BED4	Journal of Institute of Medicine
089166E0	Russian Metallurgy
0898258B	European Review of Contract Law
08A9C09E	Journal of Materials Shaping Technology
08B400AF	Taj: Journal of Teachers Association
08BCD4B4	Journal of The History of Collections
08C30BC3	Quantum and Semiclassical Optics: Journal of The European Optical Society Part B
08C5BFC6	Aiche Journal
08E4D165	Journal of Breast Cancer
08E7BBBB	Insect Conservation and Diversity
08F6787F	Emotion, Space and Society
08FF8698	Journal of Occupational and Environmental Hygiene
0906814F	Journal of Circadian Rhythms
0909D595	Foundations of Computational Mathematics
09145E92	International Journal of Information Technology and Web Engineering
091603F8	Revue Numismatique
09276A85	Journal of The Society of Dyers and Colourists
092952F3	Starinar
092CAB8D	Annals of Japan Prosthodontic Society
0937AE72	Journal of Vlsi Signal Processing Systems for Signal Image and Video Technology
093B5715	International Journal of E-politics
093BAFCF	Developmental Science
0956F3B8	Journal of Clinical Pharmacy and Therapeutics
0958614A	Zoologica Poloniae
095BE892	Aerospace America
097F240E	European Sociological Review
098F656E	Worlds Poultry Science Journal
09A1D8A5	Journal of Technology Management in China
09AA140C	International Journal of Healthcare Technology and Management
09AF4985	New Directions for Adult and Continuing Education
09BDA76F	Journal of Discrete Algorithms
09C5D0C8	Targeted Oncology
09D1CA5B	Community Dental Health
09DB7EF0	Midland History
09EA459D	Historica
0A055D3B	Applied Psychology: Health and Well-being
0A150AB2	Journal of Fluid Machinery
0A198E51	Blood Reviews
0A2273E4	Thermal Engineering
0A268225	Enzyme and Microbial Technology
0A2A55B9	Comptes Rendus Palevol
0A30E863	Experimental Astronomy
0A3771B9	Prenatal Diagnosis
